90	2.5	2.5	2.5	2.5
80	5	5	5	5
70	7.5	7.5	7.5	7.5
60	10	10	10	10
50	12.5	12.5	12.5	12.5
40	15	15	15	15
30	17.5	17.5	17.5	17.5
10	22.5	22.5	22.5	22.5
0	25	25	25	25
2.5	90	2.5	2.5	2.5
5	80	5	5	5
7.5	70	7.5	7.5	7.5
10	60	10	10	10
12.5	50	12.5	12.5	12.5
15	40	15	15	15
17.5	30	17.5	17.5	17.5
22.5	10	22.5	22.5	22.5
24.85	0.6	24.85	24.85	24.85
21.25	21.25	15	21.25	21.25
22.5	22.5	10	22.5	22.5
23.75	23.75	5	23.75	23.75
25	25	0	25	25
2.5	2.5	2.5	90	2.5
5	5	5	80	5
7.5	7.5	7.5	70	7.5
10	10	10	60	10
12.5	12.5	12.5	50	12.5
15	15	15	40	15
17.5	17.5	17.5	30	17.5
22.5	22.5	22.5	10	22.5
25	25	25	0	25
5	5	5	5	80
7.5	7.5	7.5	7.5	70
10	10	10	10	60
12.5	12.5	12.5	12.5	50
15	15	15	15	40
17.5	17.5	17.5	17.5	30
22.5	22.5	22.5	22.5	10
25	25	25	25	0
22	26	18	10	24
0	50	50	0	0
40	10	10	20	20
20	10	10	40	20
28.1	8.8	14	35.1	14
41.4	17.2	6.9	20.7	13.8
11.8	14.7	0	38.2	35.3
19.4	21.5	24.8	30.9	3.4
27.2	20.4	32.4	20	0
13.1	4.8	0.4	70.8	10.9
32	13.3	2.5	1.6	50.6
34.4	23.3	40.3	2	0
0	100	0	0	0
90	0	10	0	0
20	30	10	30	10
