0.25	9	0.25	0.25	0.25
0.5	8	0.5	0.5	0.5
0.75	7	0.75	0.75	0.75
1	6	1	1	1
1.25	5	1.25	1.25	1.25
1.5	4	1.5	1.5	1.5
1.75	3	1.75	1.75	1.75
2	2	2	2	2
1	2.25	2.25	2.25	2.25
0	2.5	2.5	2.5	2.5
9	0.25	0.25	0.25	0.25
8	0.5	0.5	0.5	0.5
7	0.75	0.75	0.75	0.75
6	1	1	1	1
5	1.25	1.25	1.25	1.25
4	1.5	1.5	1.5	1.5
3	1.75	1.75	1.75	1.75
1	2.25	2.25	2.25	2.25
0	2.5	2.5	2.5	2.5
1.45	1.45	4.2	1.45	1.45
2.25	2.25	1	2.25	2.25
1.875	1.875	2.5	1.875	1.875
1.75	1.75	3	1.75	1.75
2.5	2.5	0	2.5	2.5
0.25	0.25	0.25	9	0.25
0.5	0.5	0.5	8	0.5
0.75	0.75	0.75	7	0.75
1	1	1	6	1
1.25	1.25	1.25	5	1.25
1.5	1.5	1.5	4	1.5
1.75	1.75	1.75	3	1.75
2.25	2.25	2.25	1	2.25
2.5	2.5	2.5	0	2.5
0.75	0.75	0.75	0.75	7
1	1	1	1	6
1.25	1.25	1.25	1.25	5
1.5	1.5	1.5	1.5	4
1.75	1.75	1.75	1.75	3
2.25	2.25	2.25	2.25	1
2.5	2.5	2.5	2.5	0
2.25	1	2.25	2.25	2.25
2.485	0.06	2.485	2.485	2.485
2.375	2.375	0.5	2.375	2.375
2.125	2.125	1.5	2.125	2.125
0.5	0.5	0.5	0.5	8
3	2	1	3	1
2	3	1	3	1
1	2	3	1	3
3	1	1	3	2
2	3	1	1	3
2.2	2.6	1.8	1	2.4
0	5	5	0	0
4	1	1	2	2
1	2	4	2	1
2	1	1	4	2
2.25	1	2.25	2.25	2.25
2.35	0.6	2.35	2.35	2.35
2.375	2.375	0.5	2.375	2.375
2.125	2.125	1.5	2.125	2.125
0.5	0.5	0.5	0.5	8
2.81	0.88	1.4	3.51	1.4
4.14	1.72	0.69	2.07	1.38
1.18	1.47	0	3.82	3.53
1.94	2.15	2.48	3.09	0.34
2.72	2.04	3.24	2	0
1.31	0.48	0.04	7.08	1.09
3.2	1.33	0.25	0.16	5.06
3.44	2.33	4.03	0.2	0
